"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Byte","Qualitaet_Niveau"
"OBS_DEU_P1M_RR","142","1987-06-01","195.8","4","10",
"OBS_DEU_P1M_RR","142","1987-07-01","163.1","4","10",
"OBS_DEU_P1M_RR","142","1987-08-01","132","4","10",
"OBS_DEU_P1M_RR","142","1987-09-01","99.3","4","10",
"OBS_DEU_P1M_RR","142","1987-10-01","14.8","4","10",
"OBS_DEU_P1M_RR","142","1987-11-01","65.4","4","10",
"OBS_DEU_P1M_RR","142","1987-12-01","57.2","4","10",
"OBS_DEU_P1M_RR","142","1988-01-01","35.1","4","10",
"OBS_DEU_P1M_RR","142","1988-02-01","66.2","4","10",
"OBS_DEU_P1M_RR","142","1988-03-01","128.4","4","10",
"OBS_DEU_P1M_RR","142","1988-04-01","28.3","4","10",
"OBS_DEU_P1M_RR","142","1988-05-01","88.6","4","10",
"OBS_DEU_P1M_RR","142","1988-06-01","122.9","4","10",
"OBS_DEU_P1M_RR","142","1988-07-01","105.6","4","10",
"OBS_DEU_P1M_RR","142","1988-08-01","120.9","4","10",
"OBS_DEU_P1M_RR","142","1988-09-01","55.9","4","10",
"OBS_DEU_P1M_RR","142","1988-10-01","54","4","10",
"OBS_DEU_P1M_RR","142","1988-11-01","49","4","10",
